work_id,state,note
# Decisions a person has made about a work's PDF, so that coverage.py stops
# proposing candidates for it and stops asking the same question every run.
#
# mapping.csv says which file IS the book. This file records everything that
# cannot be expressed there: that a work has no copy yet, that a tempting
# candidate is the wrong book, that a decision is deliberately postponed.
# Without it, a scorer re-derives the same wrong guess on every run and a person
# re-reads past it every time.
#
# state:
#   none        No usable copy in the corpus. Zazil's shopping list.
#   wrong       The corpus holds something that scores well and is not this
#               work. Named in the note so the next reader does not re-check it.
#   deferred    A copy exists but the choice is postponed — two editions, a
#               scan waiting for OCR, an excerpt that may be enough.
#
# A work with a mapping.csv row is decided by that row; anything here is
# ignored for it. Remove a line when the work is mapped.
rama-la-ciudad-letrada-1984,wrong,"scores against the Transculturación narrativa file; different book, no copy of La ciudad letrada in the corpus"
mendez-los-muertos-tambien-cuentan-1995,wrong,"scores against Peregrinos de Aztlán; a different Méndez novel"
urrea-devil-s-highway-2004,wrong,"scores against Koshatka Seman's Borderlands Curanderos on the surname Urrea — that is Santa Teresa Urrea, not Luis Alberto"
jimenez-senderos-fronterizos-2002,none,"the document names it in one entry with Cajas de cartón; separate volume, no separate file"
viego-dead-subjects-toward-2007,none,added to the catalogue 16 Sept; no copy yet
castillo-children-land-memoir-2020,wrong,"scores against Ana Castillo's books; Marcelo Hernandez Castillo, no copy yet"
