list_title_contains,filename_contains,note
Polemics of Possession,Rolena Adorno_Polemics,filename misspells Possesion — no token overlap
Specters of Marx,Espectros de Marx,Spanish translation; equivalence accepted by Zazil
The Fantastic: A Structural,Teorías de lo fantástico,Spanish translation of Todorov; equivalence accepted
Nación Genízara,genizara _ ethnogenesis,the Catálogo filename also contains "Archivo General de la Nación"
The Archive and the Repertoire,El archivo y el repertorio,Spanish translation
Escritos 1,Escritos 1 (Spanish Edition),volume held; the two listed essays sit inside it
Relatos,Relatos populares de la Inquisición,list entry abbreviates the title
Ethnic Studies Research,Ethnic Studies Researchepub,the .lcpdf beside it is DRM-locked and unusable
Cuentos de cuanto hay,Cuentos de Cuanto Hay,
Fieldnotes,Fieldnotes _ the Makings,
Yo soy Joaquín,I am Joaquín,bilingual edition
…y no se lo tragó la tierra,y no se lo tragó la tierra _ And the Earth,
Palabras de mediodía,Palabras de mediodía,
With His Pistol in His Hand,_With His Pistol in His Hand_,
Crónicas diabólicas,Crónicas diabólicas (1916-1926),
