match,work_id,note
Catálogo de textos marginados,mendez-catalogo-de-textos-marginados-novohispan-1992,
Cuentos Españoles De Colorado,rael-cuentos-espanoles-de-colorado-y-1977,
Cuentos_ Tales from the Hispanic Southwest,griego-y-maestas-cuentos-tales-from-the-hispanic-1980,"the file names Anaya, the catalogue files it under Griego y Maestas"
Diccionario Cobos,cobos-a-dictionary-of-new-mexico-2003,29pp of a much longer dictionary — excerpt
El camino a Tamazunchale,arias-el-camino-a-tamazunchale-2002,
El laberinto de la soledad,paz-el-laberinto-de-la-soledad-1950,"file is the 1999 FCE edition; the catalogue record says 1950, so pagination will not match that record's edition"
Espectros y conjuras,jauregui-espectros-y-conjuras-asedios-a-2020,
Estructura Del Texto Artistico,lotman-estructura-texto-artistico-1982,"on the theory list but absent from the document the catalogue was built from; added by hand 15 Sept"
Flores - Inquisición,flores-relatos-populares-de-la-inquisicion-2010,
Hablando De Brujas,sagel-hablando-de-brujas-y-la-1981,
Indan given,saldana-portillo-indian-given-racial-geographies-across-2016,chapter 1 of 3 files
Indian given 2,saldana-portillo-indian-given-racial-geographies-across-2016,chapter 2 of 3 files
Indian given 3,saldana-portillo-indian-given-racial-geographies-across-2016,chapter 3 of 3 files
La frontera norte,gerhard-la-frontera-norte-de-la-1996,28pp — excerpt
La transmigración de los cuerpos,herrera-la-transmigracion-de-los-cuerpos-2013,
Mal de archivo,derrida-mal-de-archivo-una-impresion-1997,
Moths-The_Las-palomillas,viramontes-the-moths-and-other-stories-1985,13pp — excerpt
RIVERA GARZA,rivera-garza-los-muertos-indociles-necroescrituras-y-2013,"two editions in the corpus — narrow the match to one file before extracting"
Red_Medicine,gonzales-red-medicine-traditional-indigenous-rite-2012,
Rolena Adorno,adorno-the-polemics-of-possession-in-2007,
Borderlands _ the new Mestiza,anzaldua-borderlands-la-frontera-the-new-1987,"the match must exclude Melendez's Hidden Chicano Cinema, whose subtitle also contains 'Borderlands'; re-OCR'd 15 Sept"
The corn woman,vigil-the-corn-woman-stories-and-1994,
The extractive zone,gomez-barris-the-extractive-zone-social-ecologies-2017,"two files in the corpus — narrow the match to one before extracting"
Women%27s_Tales,rebolledo-women-s-tales-from-the-2000,filename says PART_I — likely incomplete
#
# Added 17 Sept from coverage.py --ready. Every line below is a work whose
# candidate scored at or near 1.0 with nothing close behind it. Read against the
# corpus listing before extracting; a wrong line here concatenates a book.
#
# I. THEORY
Los trabajos de la memoria,jelin-los-trabajos-de-la-memoria-2002,
Fieldnotes _ the Makings of Anthropology,sanjek-fieldnotes-the-makings-of-anthropology-1990,
El malestar en la cultura,freud-el-malestar-en-la-cultura-1978,
El relato en perspectiva,pimentel-el-relato-en-perspectiva-estudio-1998,
"RAMA, ÁNGEL - Transculturación",rama-transculturacion-narrativa-en-america-la-1982,
Ghostly Matters,gordon-ghostly-matters-haunting-and-the-1997,
Acto de presencia,molloy-acto-de-presencia-la-escritura-1996,
Along the Archival Grain,stoler-along-the-archival-grain-epistemic-2009,
El archivo y el repertorio,taylor-the-archive-and-the-repertoire-2003,"Spanish translation; the catalogue record is the English original, so pagination will not match it"
"Shamanism, colonialism, and the wild man",taussig-shamanism-colonialism-and-the-wild-1987,
Massacre of the Dreamers,castillo-massacre-of-the-dreamers-essays-1994,
La Llorona's Children,leon-la-llorona-s-children-religion-2004,
Borderlands curanderos,seman-border-curanderos-2021,"catalogued as Border Curanderos; the file is Borderlands Curanderos: The Worlds of Santa Teresa Urrea"
Mohawk interruptus,simpson-mohawk-interruptus-political-life-across-2014,
Unsettled Borders,schaeffer-unsettled-borders-the-militarized-scienc-2022,
# II. DISSERTATION
Paper Knowledge,gitelman-paper-knowledge-toward-a-media-2014,
Scales of Captivity,brady-scales-of-captivity-racial-capitalism-2022,
Never Whistle at Night,hawk-never-whistle-at-night-an-2023,
So All Is Not Lost,melendez-so-all-is-not-lost-1997,
Ghosts of My Life,fisher-ghosts-of-my-life-writings-2014,
Contemporary Gothic,spooner-contemporary-gothic-2006,
Teoría del texto e interpretación,mignolo-teoria-del-texto-e-interpretacion-1986,
Singing for my echo,rodriguez-singing-for-my-echo-memories-1987,
Naufragios de Alvar Núñez,cabeza-de-vaca-naufragios-1989,
Historia de la Nueva México,villagra-historia-de-la-nueva-mexico-2010,
