status,list,section,supplementary,ordinal,printed_ordinal,author,title,year,work_id,score,entry
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","A. Narrative Theory, Poetics, and Psychoanalysis",False,1,1,Aristóteles,Poética,1974,aristoteles-poetica-1974,1.0,"Aristóteles. Poética. Edición trilingüe de Valentín García Yebra, Gredos, 1974."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","A. Narrative Theory, Poetics, and Psychoanalysis",False,2,2,"Freud, Sigmund",“Lo ominoso.” 1919,1978,freud-el-malestar-en-la-cultura-1978,0.95,"Freud, Sigmund. “Lo ominoso.” 1919. El malestar en la cultura. 1930. Obras completas, traducción de José Luis Etcheverry, Amorrortu, 1978–79, vols. 17 y 21."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","A. Narrative Theory, Poetics, and Psychoanalysis",False,3,3,"Lacan, Jacques","“El seminario sobre ‘La carta robada.’” Escritos 1, traducción de Tomás Segovia, Siglo XXI Editores, 1971",2012,lacan-escritos-1-2012,1.0,"Lacan, Jacques. “El seminario sobre ‘La carta robada.’” Escritos 1, traducción de Tomás Segovia, Siglo XXI Editores, 1971. “Lituratierra.” Otros escritos, traducción de Graciela Esperanza et al., Paidós, 2012."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","A. Narrative Theory, Poetics, and Psychoanalysis",False,4,4,"Lienhard, Martín",La voz y su huella: escritura y conflicto étnico-social en América Latina (1492–1988),1990,lienhard-la-voz-y-su-huella-1990,1.0,"Lienhard, Martín. La voz y su huella: escritura y conflicto étnico-social en América Latina (1492–1988). Casa de las Américas, 1990."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","A. Narrative Theory, Poetics, and Psychoanalysis",False,5,5,"Pimentel, Luz Aurora",El relato en perspectiva: estudio de teoría narrativa,1998,pimentel-el-relato-en-perspectiva-estudio-1998,1.0,"Pimentel, Luz Aurora. El relato en perspectiva: estudio de teoría narrativa. Universidad Nacional Autónoma de México / Siglo XXI Editores, 1998."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","A. Narrative Theory, Poetics, and Psychoanalysis",False,6,6,"Rama, Ángel",Transculturación narrativa en América Latina,1982,rama-transculturacion-narrativa-en-america-la-1982,1.0,"Rama, Ángel. Transculturación narrativa en América Latina. Siglo XXI Editores, 1982."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","A. Narrative Theory, Poetics, and Psychoanalysis",False,7,7,"Viego, Antonio",Dead Subjects: Toward a Politics of Loss in Latino Studies,2007,viego-dead-subjects-toward-2007,1.0,"Viego, Antonio. Dead Subjects: Toward a Politics of Loss in Latino Studies. Duke University Press, 2007."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","B. Haunting, Archives, and Embodied Memory",False,1,8,"Derrida, Jacques",Mal de archivo: una impresión freudiana,1997,derrida-mal-de-archivo-una-impresion-1997,1.0,"Derrida, Jacques. Mal de archivo: una impresión freudiana. Traducción de Paco Vidarte, Trotta, 1997."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","B. Haunting, Archives, and Embodied Memory",False,2,9,"Gordon, Avery F",Ghostly Matters: Haunting and the Sociological Imagination,1997,gordon-ghostly-matters-haunting-and-the-1997,1.0,"Gordon, Avery F. Ghostly Matters: Haunting and the Sociological Imagination. University of Minnesota Press, 1997."
matched,"I. THEORY: NARRATIVE, COLONIALITY, AND CULTURAL MEMORY","B. Haunting, Archives, and Embodied Memory",False,3,10,"Molloy, Sylvia",Acto de presencia: la escritura autobiográfica en Hispanoamérica,1996,molloy-acto-de-presencia-la-escritura-1996,1.0,"Molloy, Sylvia. Acto de presencia: la escritura autobiográfica en Hispanoamérica. Traducción de José Esteban Calderón, El Colegio de México / Fondo de Cultura Económica, 1996."
